"","Site_Names","Site_code","Zone","Lat","Long","Landowner","Active_","Spring_202","Summer_202","Fall_2022","Summer_203","Fall_2023","Seasons_wi","Directions","Additional","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27","geometry"
"31","UCB Observatory Hill","UCB-OH",4,37.87444,-122.26061,"UC Berkeley","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.26061, 37.87444)
"32","UCB Eucalyptus Grove","UCB-EG",4,37.87106,-122.26462,"UC Berkeley","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.26462, 37.8710600000001)
"33","Temescal Regional Recreation Area","TRRA",5,37.8464,-122.23172,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.23172, 37.8464000000001)
"34","Montclair Park","MP",5,37.83029,-122.21292,"City of Oakland","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.21292, 37.83029)
"35","Shepherd Canyon Park","SHCP",5,37.82489,-122.19982,"City of Oakland","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.19982, 37.82489)
"36","Palos Colorados Trailhead","PCT",5,37.81542,-122.19932,"City of Oakland","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.19932, 37.8154200000001)
"37","Roberts Regional-Graham Trail","RR-GT",5,37.80941,-122.17278,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.17278, 37.8094100000001)
"38","Chabot Space Center","CSC",5,37.81924,-122.18259,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.18259, 37.81924)
"39","Skyline Gate Staging Area","SKSA",5,37.83056,-122.18439,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.18439, 37.83056)
"40","Huckleberry Botanic Regional Preserve","HBRP",5,37.84394,-122.19529,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.19529, 37.84394)
"41","Sibley Volcanic Regional Preserve","SVR",5,37.85588,-122.2071,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.2071, 37.8558800000001)
"42","Scharnagl Home","ASH",5,37.8319,-122.217,"Private landowner","Retired","Yes","Yes","Yes","No","No",NA,NA,"Site retired after the Fall 2022 season",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.217, 37.8319000000001)
"43","Jerry Lipps Home","JLH",5,37.8159,-122.191,"Private landowner","Retired","Yes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.191, 37.8159000000001)
"44","Morcom Rose Garden","MRG",6,37.82099,-122.24765,"City of Oakland","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.24765, 37.82099)
"45","Plot C","PC",6,37.81123,-122.23087,"City of Oakland","Active","Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.23087, 37.8112300000001)
